'a'wei'si'man'qin 阿维四螨嗪
'qin'shang'han 禽伤寒
'cao'ke'xing 草克星
'guang'xi'li'pu'xian'li'shi'wen'xiang'chang 广西荔浦县李氏蚊香厂
'jiang'su'sheng'lian'yun'gang'hai'shui'hua'gong'yi'chang 江苏省连云港海水化工一厂
'an'yu'xian'zhuang 安于现状
'man'yuan 满园
'wu'jing 芜菁
'you'ji'can'liu'wu 有机残留物
'min'zheng'ju 民政局
'pin'xue 贫血
'ge'tian 搁田
'fang'shuang 防霜
'tan'suan'bei 碳酸钡
'hun'za'tui'hua 混杂退化
'fu'shu'zhi'biao 腐熟指标
'lv'xiao'nai 氯硝萘
'dang'yuan 党员
'qi'cao'wei'yuan'hui 起草委员会
'ting'xie 听写
'sai'qin'yi'bing'wei 噻嗪异丙威
'xian'fu'yi'chuan 先父遗传
'wan'kuai 万块
'lv'zao'lei 绿藻类
'gong'zuo'zuo'feng'piao'fu 工作作风飘浮
'juan'ye'e'ke 卷叶蛾科
'wu'hou'xue'ding'lv 物候学定律
'gan'gu 干谷
'te'pu 特普
'chang'qi'yu'bao 长期预报
'qie'zi'ke'zhi'wu 茄子科植物
'chi'xing'bing 赤星病
'lin'mu'qi'wang'jia 林木期望价
'quan'nian 全年
'shan'dong'sheng'he'ze'shi'ao'li'qi'jing'xi'hua'gong'chang 山东省菏泽市澳力奇精细化工厂
'zuo'ge 做个
'shan'dong'mai'ying'de'hua'xue'you'xian'gong'si 山东迈英德化学有限公司
'fan'zheng'xian'zhuan'huan 反正弦转换
'qi'rong'jiao 气溶胶
'fang'mu'qu 放牧区
'hu'ma'wei'diao'bing 胡麻萎凋病
'kuai'jing'lei 块茎类
'sheng'wu'xiao'guo 生物效果
'nong'kang 农抗
'ji'hu'chang'gu'bing'du'xing'jian'qiao'yan 鸡呼肠孤病毒性腱鞘炎
'jie'ran 皆然
'ping'zhan 平展
'ti'gao'gong'zuo'xiao'lv 提高工作效率
'zhi'bao'zhi'jian 植保植检
'jia'xing'xue'yuan'tu 加性血缘图
'an'hui'de'feng'nong'hua'you'xian'gong'si 安徽得丰农化有限公司
'niu'tao'chong 牛绦虫
'feng'zhen 风疹
'xi'wen 喜温
'gen'ben'yao'qiu 根本要求
'xiao'qi'hou 小气候
'xing'xing'wei 性行为
'gong'ying'chu'kou 供应出口
'wu'guan'shui 雾灌水
'hong'zong'se'sen'lin'tu'rang 红棕色森林土壤
'kuai'jing'e 块茎蛾
'yan'cao'jun'he'bing 烟草菌核病
'huo'hui 火灰
'ran'you'beng 燃油泵
'lu'dao'zhu'ku'bing 陆稻株枯病
'di'dai'xing'tu'rang 地带性土壤
'nie'rong'zha'fei'liao 镍溶渣肥料
'fen'shang 分墒
'kao'jiu 烤酒
'jiao'su'fen'xi 酵素分析
'mian'he'gao'lv 棉核高氯
'ti'ye'di 体液第
'xi'shuang'ban'na'dai'zu'zi'zhi'zhou 西双版纳傣族自治州
'xi'fu'fu'he'ti 吸附复合体
'feng'dou'jie 封豆洁
'zhi'wu'xing'sha'chong'ji 植物性杀虫剂
'ting'zhen 听诊
'sheng'hua'duo'tai'xing 生化多态性
'shui'zhi 税制
'fu'zhi'suan'se'du'xi'shu 腐殖酸色度系数
'ying'yang'su 营养素
'lian'dao'jun'gen'fu'bing 镰刀菌根腐病
'mian'yi'mei'fa 免疫酶法
'sheng'cao'ceng 生草层
'guan'gai'gong'cheng 灌溉工程
'yang'yu 养育
'jiao'tong'shu'niu 交通枢纽
'wu'ding'ping'tai 屋顶平台
'duo'chuang'zao 多创造
'fu'jian'sheng'kuai'le'ri'hua'shi'ye'you'xian'gong'si 福建省快乐日化实业有限公司
'ji'suan'ji'mei 肌酸激酶
'yi'dao'san'huan'zuo 异稻三环唑
'wang'zhuang'nei'pi'zu'zhi'zeng'zhi 网状内皮组织增殖
'ban'ru'tang'chun 半乳糖醇
'jin'jin'wei'rao 紧紧围绕
'bu'rong'le'guan 不容乐观
'tai'sheng'fan'zhi 胎生繁殖
'gou'guan 沟灌
'ya'shu 亚属
'zi'jing 紫荆
'gan'chen'jiang 干沉降
'pi'fa'jia 批发价
'xi'shou'zu'zhi 吸收组织
'guang'he'xiao'lv 光合效率
'wei'ti'fan'zhi 微体繁殖
'tai'yang'neng're'shui'xi'tong 太阳能热水系统
'zheng'xian 正弦
'shen'tou'ya 渗透压
'fan'ying'cu'jin'ji 反应促进剂
'nang'chong'bing 囊虫病
'nong'yong'yun'shu'po 农用运输颇
'xiang'fu 相符
'mai'lei'mai'jiao'bing 麦类麦角病
'sai'ling'ling 赛铃灵
'gen'tuo 根托
'jie'kang'wei'sheng'wu 拮抗微生物
'de'zhou'xue'bao'hua'xue'you'xian'gong'si 德州雪豹化学有限公司
'hong'wai 红外
'chai'you'yi'bing'wei 柴油异丙威
'fu'qin 父亲
'hun'yong 混用
'zao'shu'yu'mi 早熟玉米
'wei'bao'jun'ye'ban'bing 尾孢菌叶斑病
'sheng'gen'fen 生根粉
'sao'si'chang 缫丝厂
'shou'jia 收假
'lin'di 林地
'zhu'bu'hui'gui 逐步回归
'tu'jun'xiao 土菌消
'nong'ye'sheng'chan'xiao'yi 农业生产效益
'zi'hua'bu'yu'xing 自花不育性
'yi'shou'ge'ji 役收割机
'zi'ji'zi'zu 自给自足
'zhi'li'de 直立的
'gai'tu'gui'liu 改土归流
'biao'ji'hua'he'wu 标记化合物
'gan'jian'xian'chong'bing 干尖线虫病
'xuan'zhuan'chu 旋转锄
'jiang'su'sheng'xin'he'nong'yong'hua'gong'you'xian'gong'si 江苏省新河农用化工有限公司
'you'xiao'duan'mian'ji 有效断面积
'xiao'pao 小泡
'kang'zai'jiu'zai'qing'kuang 抗灾救灾情况
'ke'jian'guang'fu'she 可见光辐射
'xue'guan'ji'bing 血管疾病
'fen'chi'bing 粉痴病
'fu'fang'duo'jun'ling 复方多菌灵
'ying'yang'wei'sheng 营养卫生
'bao'feng'yu 暴风雨
'jia'qiang'nong'min'pei'xun 加强农民培训
'luan'lie 卵裂
'shou'zai'yan'zhong 受灾严重
'hu'nan'da'fang'nong'hua'you'xian'gong'si 湖南大方农化有限公司
'nong'ye'qi'hou'fen'xi 农业气候分析
'tian'jian'zhen'ya'qi 田间镇压器
'nong'cun'jing'ji'chun'shou'ru 农村经济纯收入
'fa'sheng'liang'yu'ce 发生量预测
'jia'qing'shui'an 甲氰水胺
'jia'wan'fa'jiao 甲烷发酵
'guang'xi'gui'lin'bao'sheng'nong'yao'you'xian'gong'si 广西桂林宝盛农药有限公司
'shao'xiong'rui'de 少雄蕊的
'jiang'xi'sheng'yi'chun'xin'long'hua'gong'you'xian'gong'si 江西省宜春新龙化工有限公司
'can'dan 蚕蛋
'biao'ceng'zhui'fei'ji 表层追肥机
'qin'guang'rong 秦光荣
'er'lv'mi'huang'long 二氯醚磺隆
'nei'rong'feng'fu 内容丰富
'er'suo'suan'xun'huan 二羧酸循环
'shuang'bian'liang'zong'ti 双变量总体
'na'zhe 拿着
'zhi'wu'sheng'zhang'shi 植物生长室
'yang'fu'pu'cao'jing 氧氟扑草净
'nong'tian'ji'ben'jian'she 农田基本建设
'sha'chong'huan 杀虫环
'chuang'tu 床土
'you'hu'lu 油葫芦
'sheng'wu'feng'hua 生物风化
'qian'yu'yan'tu 潜育盐土
're'hong'wai 热红外
'xian'wei'xuan'chuan'bu 县委宣传部
'gao'chan'zui 高产罪
'meng'sha'wei 猛杀威
'ju'xiao'lie'pian'de 具小裂片的
'shou'xiao 瘦小
'ni'ling 拟菱
'shuang'xiang'li 双向犁
'song'ruan'qian'yu'tu 松软潜育土
'dong'xing 冬性
'ran'se'ti'yi'chang'you'fa 染色体异常诱发
'xin'xi'guan'li'yu'xin'xi'xi'tong 信息管理与信息系统
'ding'liu'ji'you 丁硫机油
'dao'shui'gou 导水沟
'hai'nan'li'zhi'sheng'wu'gong'cheng'you'xian'ze'ren'gong'si 海南力智生物工程有限责任公司
'ding'qi'yu'bao 定期预报
'ji'shu'gai'zao 技术改造
'zong'jiao'gai'ge 宗教改革
'ya'zhuang 芽壮
'xiang'wan'dou 香豌豆
'zhi'wu'fen'lei 植物分类
'gong'pei'xun'nong'min 共培训农民
'ma'gua'liu'suan'tong 吗胍硫酸铜
'yu'ce 预测
'sheng'se'xi'jun 生色细菌
'xian'mao'shang'pi 纤毛上皮
'dan'ren 担任
'da'jing'song 哒净松
'bai'mu 百亩
'ruo'suan'xing 弱酸性
'yan'jin'xiao'shou 严禁销售
'hua'fen'yu 花粉雨
'shu'xiu'jian'ji 书修剪机
'zu'cheng'dai'xie 组成代谢
'wu'xian'hua'xu 无限花序
'ruan'zhi'xiao'mai 软质小麦
'meng'tie'lu'hui 锰铁炉灰
'xing'huo'ji'hua 星火计划
'zhong'zi'yong'si'cao'zai'pei 种子用饲草栽培
'tai'yang're'gong'ai 太阳热供暧
'jie'neng'jian'pai 节能减排
'qu'xian'xiang'guan 曲线相关
'jue'bi 绝壁
'quan'xian'chun'geng'chun'zhong'gong'zuo 全县春耕春种工作
'he'zi'liu'e 诃子瘤蛾
'da'ao'xia 大螯虾
'she'hui'xiao'fei'pin'ling'shou'liang 社会消费品零售量
'mie'sao'li 灭扫利
'xi'xian'ma'lin 烯酰吗啉
'xiong'mo 胸膜
'bing'cao'an 丙草胺
'yang'qin'ye 养禽业
'guo'jia'zeng'jia'tou'zi'dai'dong'nei'xu 国家增加投资带动内需
'xian'yu'jiang'shui'dao'liang'zhong'fan'zhi'chang 县渔江水稻良种繁殖场
'jia'chu'sheng'li'xue 家畜生理学
'chun'jie 春节
'jiang'su'sheng'jian'hu'xian'hua'gong'chang 江苏省建湖县化工厂
'zhong'zhi'duan'qi'bao'cun'cai'liao 种质短期保存材料
'shi'xing 实行
'jiang'xi'sheng'xin'gan'hua'gong'chang 江西省新干化工厂
'shen'keng'chi'ye'e 肾坑翅夜蛾
'qiu'gen'zhi'wu 球根植物
'gu'zi'se 古紫色
'ye'wu'zhi'shi 业务知识
'tian'jing 田菁
'zhi'qi'guan 支气管
'dang'chang 当场
'zhong'bo 中播
'dan'shi 单式
'yan'mu'ji 阉母鸡
'zhuan'dao'yin'zi 转导因子
'ji'jie'xing'fen'mian 季节性分娩
'ai'hua 矮化
'you'xian'hua'xu 有限花序
'rou'dou'kou 肉豆蔻
'ying'ye'e 营业额
'cu'huang'ti'ji'su 促黄体激素
'jing'gao'qie'sui'ji 茎稿切碎机
'zhong'dian'zhua'hao 重点抓好
'shan'dong'sheng'qu'fu'shi'er'fu'nong'yao'chang 山东省曲阜市尔福农药厂
'guang'xi'wei'yi'de 广西唯一的
'jiao'tou 浇透
'jie'qing 节庆
'yang'hua'tie 氧化铁
'zi'ran'fa'qing 自然发情
'wei'sheng'su'ji 维生素剂
'guan'gai'di 灌溉地
'tai'er'gan'shi'hua 胎儿干尸化
'ti'du 梯度
'wu'xiong'rui'de 无雄蕊的
'bai'fu 百福
'zhu'zi'fen'xi 烛子分析
'fu'gu'zhang 副股长
'jiang'su'li'nong'hua'xue'you'xian'gong'si 江苏利农化学有限公司
'song'jian 松碱
'shuo'dan 硕丹
'luan'mo'kong 卵膜孔
'bai'mi 白米
'qing'cao'chan'liang 青草产量
'jia'chu'wei'sheng'xue 家畜卫生学
'hen'xia'gong'fu 狠下功夫
'wu'liu'wu 五六五
'jiao'mu 酵母
'guang'xi'geng'di'lei'xing 广西耕地类型
'dan'shen'hu 单身户
'dui'wu 堆捂
'chuan'suo'yu'zhong 穿梭育种
'luan'liu 乱流
'cu'mo'gu'fen 粗磨谷粉
'pi'kong 皮孔
'kong'jing'gui 孔径规
'nian'jin 年金
'e'tong'meng'xin 噁酮锰锌
'mian'zi'fen 棉籽粉
'ji'nai'qi 挤奶器
'le'si'ling'zan'ding'ming 乐斯灵暂定名
'xian'wei'chang'wei 县委常委
'ge'zi'she'ji 格子设计
'shan'dong'song'gang'hua'xue'you'xian'gong'si 山东松冈化学有限公司
'lin'xiao'ji'ben'fen'na 邻硝基苯酚钠
'nong'ye'fu'wu 农业服务
'cao'ku'te 草枯特
'you'le'de 优乐得
'hen'kuai 很快
'qiu'yin'fen'fei 蚯蚓粪肥
'qian'yu'qi 潜育期
'tu'fei 土肥
'zhi'zao'chang 制造厂
'gan'guo 坩埚
'er'bai'gu 二白谷
'gen'ju'ge'ren'zi'wo'dui'zhao'jian'cha 根据个人自我对照检查
'qian'shui 浅水
'huang'gua 黄瓜
'you'gan 油柑
'ye'ma 野马
'yi'nian'sheng 一年生
're'fen'jie 热分解
'sheng'yu'qi 生育期
'xie'tong'xiao'ying 协同效应
'di'qiao 地壳
'mi'meng'duo'jun'ling 咪锰多菌灵
'ding'you 丁莠
'hua'mi 花蜜
'ban'huo 拌和
'xin'xi'ban 信息办
'ye'zi'hua 叶子花
'han'lao'bao'shou'wen'chan'gao'chan'nong'tian'mian'ji 旱涝保收稳产高产农田面积
'bian'ji 边际
'qi'xiang'fan'ying'xing 气象反应性
'ru'zi 褥子
'shui'zi'zhuang 水渍状
'shi'zai'pei 示栽培
'duo'zhong'jing'ying 多种经营
'fu'zhu'xi 副主席
'ku'gan 苦干
'zheng'zhi'xue 政治学
'sai'guo 赛果
'zhi'wu'sheng'zhi'pu 植物生殖瀑
'ju'min'xiao'fei'pin'gou'mai'li 居民消费品购买力
'sheng'wu'zhen'duan 生物诊断
'shan'dong'zhong'shi'yao'ye'you'xian'gong'si 山东中石药业有限公司
'you'xiao'wen'du 有效温度
'da'xiao'nian 大小年
'jie'jing'zhuo 结晶酌
'ye'qiao'wang'ban'bing 叶鞘网斑病
'can'ping 参评
'sheng'zhou 省州
'fu'jun'long 肤菌隆
'ban'mao'su 斑蝥素
'shui'ta 水獭
'sheng'ming'xiao'ti 生命小体
'xian'lao'dong'he'she'hui'bao'zhang'ju 县劳动和社会保障局
'xi'shou'ji'neng 吸收机能
'le'sha'man 乐杀螨
'jie'gua 节瓜
'xi'lie'hua 系列化
'lun'hui'za'jiao 轮回杂交
'lan'yan'jing 蓝眼睛
'di'yi'ceng 第一层
'shu'qi 熟期
'ke'fan'zhuan'li 可翻转犁
'qiang'ji'fu'an'suan 羟基脯氨酸
'wen'du'chuan'dao'lv 温度传导率
'shen'song'geng 深松耕
'he'biao'xian'xing 核表现型
'you'nian'gu 幼年谷
'dian'gu'ji'he'qu'jian'gu'ji 点估计和区间估计
'wu'si'yue'ju 乌丝越桔
'hong'wai'xian 红外线
'wo'niu 蜗牛
'sheng'nai'shi 圣耐施
'zu'dan'bai 组蛋白
'gai'liang'nong'yi'cuo'shi 改良农艺措施
'zheng'que'xing 正确性
'cheng'gong 成功
'zheng'san'shi 蒸散势
'hou'sheng'zhi'ti 后生质体
'dao'lu'jiao'tong 道路交通
'jiang'su'sheng'yang'zhou'shi'hua'long'hua'gong'you'xian'gong'si 江苏省扬州市华龙化工有限公司
'cai'miao 菜苗
'wo'zhao'chu'le'zi'ji 我找出了自己
'a'wei'kui'liu'lin 阿维喹硫磷
'jing'ji'xue'jia 经济学家
'he'gu'lei'dan'bai'zhi 禾谷类蛋白质
'shi'ji'zhi 实际值
'yi'jin 亿斤
'er'xiu'lv'bing'wan 二溴氯丙烷
'ying'ye'lin 硬叶林
'can'tai'yu 蚕台育
'meng'de'er'xing'zhuang 孟德尔性状
'hui'fa'xing'zhi'fang'suan 挥发性脂肪酸
'chong'fa 重发
'ying'yang'jun'si 营养菌丝
'hei'xing'xing 黑猩猩
'she'ying'zhan 摄影展
'lu'mian 路面
'zhi'wu'yao'li'xue 植物药理学
'shang'cun 上村
'ben'tai'an'suan 苯肽胺酸
'an'hua'zhuo 氨化酌
'jie'duan'xing'cheng'xiao 阶段性成效
'hou'bei'jia'chu 后备家畜
'ren'shen'qian'qi 妊娠前期
'rong'cheng'lin'fei 熔成磷肥
'mian'jing'mu'du'e 棉茎木蠹蛾
'gu'wu'cang'ku 谷物仓库
'yuan'zi'de'ju'he 原子的聚合
'zhong'nao 中脑
'you'hai'dong'wu 有害动物
'yu'ye'man'jiang'hong 羽叶满江红
'jie'cao'tong 解草酮
'tian'suan'jiao 甜酸角
'di'mian'qi'wen 地面气温
'jia'chen 甲辰
'cao'mei'bai'fen'bing 草莓白粉病
'xuan'ti 选题
'bi'yan'jian 蓖烟碱
'luo'jiao'dian 落脚点
'xing'zhuang'xi'tong'fa'yu 性状系统发育
'kuo'ye'de 阔叶的
'bing'li 病理
'san'bi'ji'shu 三避技术
'yi'deng'gong 一等功
'zhong'zhi 种质
'xing'fen'hua 性分化
'xi'gua'tao'zhong'mu'shu 西瓜套种木薯
'ti'ming 题名
'shui'guo'xiang'jing 水果香精
'niao'dao'qiu'xian 尿道球腺
'feng'shou'zhi'nian 丰收之年
'zhong'xia'you 中下游
'zhi'jian 之间
'sheng'wu'wei'hai 生物危害
'wen'jia'bao 温家宝
'hua'xue'jia 化学家
'shao'jun 烧菌
'rou'qie 揉切
'wen'shi'tong'feng 温室通风
'nong'ju'fang 农具房
'tian'xie 填写
'chou'yang 抽样
'pei'he 配合
'hai'he 海禾
'ben'sai'jun'qing 苯噻菌清
'jia'duo'bei'ti 假多倍体
'zai'sheng'zai'pei 再生栽培
'ke'xian'dan 克线丹
'xian'nian 现年
'you'ji'nong'ye 有机农业
'sheng'hua 盛花
'can'sang'chan'ye 蚕桑产业
'luo'wu'bu 罗婺部
'ye'ya 野鸭
'chui'zhi'tu'rang'dai 垂直土壤带
'huang'you'zao'xing 黄油造型
'you'qi 油柒
'xiang'jie'he 相结合
'san'fen'zhong 三分种
'ji'suan'xiao'qu 计算小区
'ri'ben'ri'chan'hua'xue'gong'ye'zhu'shi'hui'she 日本日产化学工业株式会社
'hou'lun'chuan'dong 后轮传动
'guan'yu'kai'zhan 关于开展
'guang'he'cheng'mo'xing 光合成模型
'bing'hai'xun'huan 病害循环
'mei'jian 霉茧
'zhi'si'lv 致死率
'cao'fu'chong 草覆虫
'yi'min'ju 移民局
'ke'fu'zuo'zhong'yi'ji 克福唑种衣剂
'ku'ji 酷极
'yun'zai 匀栽
'su'wen'xi 苏文熙
'tai'jian 肽键
'xue'yuan 血缘
'bao'zi'ti'zi'jiao'bu'qin'he'xi'tong 孢子体自交不亲和系统
'zhu'shui'dao 主水道
'jing'e'bian 精噁苄
'xuan'ling'shu 悬铃树
'la'shu 蜡熟
'wen'ding'de'jiu'ye'qu'dao 稳定的就业渠道
'chang'wei'ying'wu 长尾鹦鹉
'ying'ji'xing 应激性
'jiang'guo'lei 浆果类
'ge'li'qu'she'zhi 隔离区设置
'jia'chun'dan'xi'bao'dan'bai'zhi'si'liao 甲醇单细胞蛋白质饲料
'huai'yun'mu'chu 怀孕母畜
'dao'lu 道路
'le'si'ben 乐斯本
'zi'gong'bing 子宫病
'zhuo'si'li 着丝粒
'mu'chu'shu'liang 母畜数量
'xing'zhuang'jian'ding 性状鉴定
'jing'gang'qiang'xi'xian 井冈羟烯腺
'pao'guan'yao'guan 跑官要官
'wai'yin'di'zhi'zhuo 外因地质酌
'xiang'dui'sheng'zhang 相对生长
'ren'kou'tong'ji 人口统计
'hai'bi'jiao'bo'ruo 还比较薄弱
'jia'qing'ma'la'song 甲氰马拉松
'shi'sheng'zhi'wu 湿生植物
'xiu'mian'da'po 休眠打破
'huai'si 坏死
'gong'mao 公猫
'xian'jun'si'yang 限菌饲养
'bang'zhuang'gan'jun 棒状杆菌
'zhong'xiong 中胸
'jin'qi'cheng 近七成
'yang'ya 养鸭
'kai'mu'hui 开幕会
'shang'jiao 上缴
'di'yi 地衣
'jin'si'zhi 近似值
'guo'du'ceng 过渡层
'fu'she 辐射
'he'tong'tang 核酮糖
'wan'sui 万穗
'wan'ci'hei'chun 弯刺黑蝽
'shui'chan'ye 水产业
'jian'duan'xing'bian'liang 间断性变量
'duan'zhuang'ya 短壮芽
'bo'chi'ye'ming 薄翅野螟
'ju'shi'an 拒食胺
'qin'cai 芹菜
'tun'yan 吞咽
'zhong'qiu 种球
'gu'sheng'dai'ceng 古生代层
'ling'dao'gan'bu'lian'zheng'zhi'du 领导干部廉政制度
'yi'ban'lin 乙拌磷
'bi'e'la'chan 碧蛾蜡蝉
'kai'jie'pai'quan'gou 开截排泉沟
'bing'que'e'cao'tong 丙炔噁草酮
'can'jian'shou'cheng 蚕茧收成
'zheng'teng'ji 蒸腾计
'jing'zi'ning'ji 精子凝集
'ren'gong'ying'yang 人工营养
'xiao'mu'zhu 小母猪
'dang'zhang 党章
'si'hei'sui'bing 丝黑穗病
'si'liao'jia'gong'she'bei 饲料加工设备
'you'xuan'fan'shi'lv'bing'que'ju'zhi 右旋反式氯丙炔菊酯
'cheng'yuan'zi'ge 成员资格
'xun'yang'dong'wu 驯养动物
'long'zhao'hua 龙爪花
'qing'jin'yi'cao'an 氰津乙草胺
'san'yao'su'fei'liao 三要素肥料
'fu'jia'zhong'yi'ji 呋甲种衣剂
'zhi'ci'de 直刺的
'kai'ken'de'hai'tu'di 开垦的海涂地
'shen'shang'xian'zai'tong 肾上腺甾酮
'fei'hai 肥害
'yu'yan'xue 语言学
'dou'qi 豆奇
'mai'bo'ci'shu 脉搏次数
'gao'wen'zhang'ai 高温障碍
'chi'se'mi 赤色米
'meng'de'er'shi'yi'chuan 孟德尔式遗传
'pi'wu 披屋
'bao'gao'shu 报告书
'hei'se'zhong'mi'feng 黑色种蜜蜂
'sha'zhen'jun'ji 杀真菌剂
'zhi'wu'qu'xi 植物区系
'jia'qing'xin'liu'lin 甲氰辛硫磷
'bu'zhi'yu 不至于
'cha'tian'niu 茶天牛
'sheng'chai'zao 省柴灶
'chu'qin'chan'ye 畜禽产业
'zhao'qi'xiang'mu'jian'she 沼气项目建设
'mei'yi 每一
'huan'tian'mo'shi 还田模式
'sai'sen'tong 噻森铜
'yan'jing'she 眼镜蛇
'cao'wei'jia'an'lin 草威甲胺磷
'shou'ti 受体
'gen'bu'ying'yang 根部营养
'ai'jiao'jiao 矮脚蕉
'jie'he'shi'ji 结合实际
'chao'min'dan'bai 超敏蛋白
'shi'yang'de 适阳的
'ya'lin 芽鳞
'qian'chu 千锄
'yi'chang'luan'zi 异常卵子
'shi'yan'shi'fan'ji'di'jian'she 试验示范基地建设
'lou'shui'dao'tian 漏水稻田
'yi'bang'yi 一帮一
'ping'jun'fen 平均分
'fa'zhan'sheng'chan 发展生产
'su'xiao'pu'shi'ling 速效扑虱灵
'can'jia'le'qi'dong'yi'shi 参加了启动仪式
'ai'ji'che'zhou'cao 埃及车轴草
'fa'yu'ting'zhi'luan 发育停止卵
'fen'liu 分流
'yun'ban'tian'niu 云斑天牛
'shen'geng 深耕
'ren'gong'ji'yin 人工基因
'ye'guan'che 液罐车
'zi'dong'zhuang'zai'che 自动装载车
'qi'jian 气筧
'bao'he'cu'gu'tu 饱和粗骨土
'xian'xing'guan'xi 线性关系
'jin'yi'bu'you'hua 进一步优化
'hou'zhuo'liao'zui 后浊料罪
'da'qing'zao'shu 大青枣树
'yao'ji 药剂
'guo'wen 过问
'jiao'hu'chong'zu 交互重组
'jian'quan 健全
'lei'xing 类型
'mai'xi'he 麦喜禾
'la'shu 腊熟
'ping'fang'fan'bi'ding'lv 平方反比定率
'duan'nai'zhong 断奶重
'jian'qing'nong'min'fu'dan 减轻农民负担
'dui'cao'ji 堆草机
'shi'wei 食味
'ban'zhi'si'shi'jian 半致死时间
'sha'rang 砂壤
'yuan'jiang 元江
'bai'ming 白螟
'ma'lei 麻类
'yin'dao'jing'jian'cha 阴道镜检查
'he'xiong'xing'bu'yu'xi 核雄性不育系
'you'jie'gou'tu'rang 有结构土壤
'jia'she'zong'ti 假设总体
'ban'zhi'jun 半知菌
'san'hei'sui'bing 散黑穗病
'an'quan'xi'shu 安全系数
'xia'lue 下略
'chu'shi'kai'gou'qi'mao'shi'kai'gou'qi 锄式开沟器锚式开沟器
'zong'miao'shu 总苗数
'huang'cao'lin 磺草磷
'tu'rang'gan'han 土壤干旱
'liu'huang'dao'wen'ling 硫磺稻瘟灵
'nan'dian 难点
'zuo'gong'cha 做功差
'shi'duo 事多
'zhong'qi'tian'qi'yu'bao 中期天气预报
'da'jing'liu'lin 哒净硫磷
'dan'su'tong'hua 氮素同化
'sheng'li'bing'hai 生理病害
'chun'du'ce'ding 纯度测定
'qi'xiang'wei'xing 气象卫星
'gun'ya'qi 滚压器
'wen'liang 温凉
'mao'qiu 毛球
'chu'miao 出苗
'ke'ji'yan'jiu 科技研究
'bi'li'chi 比例尺
'xue'sheng'li 血生理
'lu'xi'shi 潞西市
'qu'bi 驱避
'shui'guo'shou'huo'ji 水果收获机
'e'rou 鹅肉
'yuan'xian'chong'bing 圆线虫病
'yang'fen'chu'cun 养分储存
'gei'shui 给水
'zhen'kong'leng'dong'gan'zao 真空冷冻干燥
'ting'che'zhan 停车站
'zhen'sui'xiang'hu'zuo'yong 砧穗相互作用
'si'wang 死亡
'zhong'dian'wen'wu'bao'hu'dan'wei 重点文物保护单位
'pin'zhong'dui'bi'shi'yan 品种对比试验
'fu'zhi'zhi'xiao'hao'xi'shu 腐殖质消耗系数
'zui'xiao'xian'jie'liang 最小限界量
'ke'wu'san'zuo'tong 克戊三唑酮
'meng'hai 勐海
'xi'huo 熄火
'chu'li'fang'cha 处理方差
'you'si'fen'lie'zhou'qi 有丝分裂周期
'an'lv'bao 安绿宝
'mie'kui'fu'huang'an 灭喹氟磺胺
'dian'xing'qiang'lin'rong'tu 典型强淋溶土
'zhong'guo'gong'chan'dang'di'fang'wei'yuan'hui'gong'zuo'tiao'li 中国共产党地方委员会工作条例
'du'dao'zu 督导组
'zhi'se'pu'fa 纸色谱法
'bao'zi'zhi'wu 孢子植物
'da'qu'shi'yan 大区试验
'qian'li'zhong 千粒重
'qing'li'zi'nong'du 氢离子浓度
'si'liao'zhu'cang'ku 饲料贮藏库
'nai'fei'li 耐肥力
'zhi'zhe 指着
'qi'ta'qin'lei 其他禽类
'shuang'tu'jing'zhuang'de 双凸镜状的
'an'ji'hua 按计划
'xi'bao'yu'zhong 细胞育种
'jian'yong'xing 兼用型
'jiao'ban 交办
'jian'cheng'tou'chan'dan'xiang'gong'cheng 建成投产单项工程
'ke'ke'shu 可可树
'tu'bing'du'xing'chu'xie'zheng 兔病毒性出血症
'can'zhong'xiao'du 蚕种消毒
'da'chang'gan'jun'luo 大肠杆菌落
'tian'cai'miao'fu'bing 甜菜苗腐病
'quan'mian'luo'shi 全面落实
'shi'pin'yao'pin'jian'du'guan'li'ju 食品药品监督管理局
'hei'shu 黑薯
'jiang'xue'jin 奖学金
'yi'lin'suan 乙膦酸
'tao'du'ming 桃蠹螟
'shuang'lie'yuan'pan'ba 双列圆盘耙
'gao'yao'bing 膏药病
'shi'xian'lao'dong'li'zhuan'yi 实现劳动力转移
'chui'liu 垂柳
'ke'zhu'jia 棵蛛甲
'jun'he'li 菌核利
'sui'ji'bian'liang 随机变量
'lin'shi'tong'xing'zheng 临时通行证
'yin'yu'lian'mian 阴雨连绵
'bai'cai 白菜
'xiao'hua 小花
'an'tai'dan 铵态氮
'er'ceng'kuang'wu 二层矿物
'nai're'shu'cai 耐热蔬菜
'jun'lie'yan'tu 龟裂盐土
'deng'jie'dong'xian 等解冻线
'jun'gen 菌根
'wo'cao'tong 肟草酮
'chao'lin 超林
'sai'tong'que'man'te 噻酮炔螨特
'liu'tong'duo'jun'ling 硫酮多菌灵
'hua'gan'su 化感素
'mai'lei'huang'xiu'bing 麦类黄锈病
'zhi'liang'biao'zhun 质量标准
'zhang'mu'biao 帐目表
'you'guan'hui'yi 有关会议
'niu'chuan'ran'xing'ke'li'yin'dao'yan 牛传染性颗粒阴道炎
'fu'qiu 浮球
'bi'se'fen'xi 比色分析
'nong'cun 农村
'ru'pin'ye 乳品业
