'a'bo 阿勃
'gong'sheng'guan'xi 共生关系
'gong'sheng'ti 共生体
'gong'shi 供试
'gong'shi 公事
'gong'shi 共识
'gong'shi'cai'liao 供试材料
'gong'shi'chu'li 供试处理
'gong'shuang'bei'ti 共双倍体
'gong'shui'she'bei 供水设备
'gong'shui'shui'yuan 供水水源
'gong'shui'ti'xi 供水体系
'gong'ti 供体
'gong'ti'dong'wu 供体动物
'gong'tong'yun'dong'chang 共同运动场
'gong'xing'ti'bing 弓形体病
'gong'xu 供需
'gong'ya 公鸭
'gong'yang 公羊
'gong'ye'fang'fa 工业方法
'gong'ye'wu'shui 工业污水
'gong'ye'yong'can'jian 工业用蚕茧
'gong'ye'zhi'wu 工业植物
'gong'yin'zi 公因子
'gong'ying 供应
'gong'zhong'du 汞中毒
'gong'zhu 公猪
'gong'zuo'shang 工作上
'gou'bo 沟播
'gou'bo'ji 沟播机
'gou'chong 钩虫
'gou'chong'bing 钩虫病
'gou'chuan'ran'xing'gan'yan 狗传染性肝炎
'gou'duan'luo'xuan'ti'bing 钩端螺旋体病
'gou'gou'duan'luo'xuan'ti'bing 狗钩端螺旋体病
'gou'guan 沟灌
'gou'jia 购价
'gou'lian 钩镰
'gou'lun 沟轮
'gou'nang'wei'you'bing 钩囊尾幼病
'gou'pao'zhen'bing'du 狗疱疹病毒
'gou'peng'jie'xian'chong'bing 狗膨结线虫病
'gou'qu'qing'jie'ji 沟渠清洁机
'gou'rong'xing 枸溶性
'gou'shi 沟施
'gou'shi 沟蚀
'gou'shi'qing'zhu'jiao 沟式青贮窖
'gou'shu 构树
'gou'tao'chong'bing 狗绦虫病
'gou'wei'cao 狗尾草
'gou'ya'suan 狗牙蒜
'gou'zhu'wu 构筑物
'gu'an'suan 谷氨酸
'gu'an'suan'tuo'qing'mei 谷氨酸脱氢酶
'gu'an'xian'an 谷氨酰胺
'gu'bing 骨病
'gu'cao 谷草
'gu'cao'bi 谷草比
'gu'cao'fu'mo'zai'pei 谷草覆膜栽培
'gu'chan 估产
'gu'chun'rong'dan'bai 谷醇溶蛋白
'gu'dai'qin'shi 古代侵蚀
'gu'dan 固氮
'gu'dan'bai 谷蛋白
'gu'dan'jun 固氮菌
'gu'dan'mei 固氮酶
'gu'dan'xi'jun'fei'liao 固氮细菌肥料
'gu'di 谷地
'gu'ding 固定
'gu'ding'hua'wei'sheng'wu 固定化微生物
'gu'ding'mei 固定酶
'gu'ding'mo'xing 固定模型
'gu'ding'sheng'wu'cui'hua'ji 固定生物催化剂
'gu'ding'tuo'li'ji 固定脱粒机
'gu'dui 谷堆
'gu'e 谷蛾
'gu'fei 钴肥
'gu'fen 骨粉
'gu'fen'fei 骨粉肥
'gu'feng 谷风
'gu'feng 鼓风
'gu'feng'gan'zao 鼓风干燥
'gu'feng'hua 古风化
'gu'feng'hua'qiao 古风化壳
'gu'feng'hua'tu'rang 古风化土壤
'gu'feng'ji 鼓风机
'gu'feng'pen'wu'ji 鼓风喷雾机
'gu'feng'shi'mi'wu'ji 鼓风式弥雾机
'gu'ge'fa'yu 骨胳发育
'gu'gu 股骨
'gu'guang'gan'tai 谷胱甘肽
'gu'guang'gan'tai'guo'yang'hua'wu'mei 谷胱甘肽过氧化物酶
'gu'guo'lin'suan'gai 钴过磷酸钙
'gu'ji'biao'zhun'wu 估计标准误
'gu'ji'zhi 估计值
'gu'jia 骨痂
'gu'lei 谷类
'gu'lei'gao'gan 谷类稿秆
'gu'lei'zui 谷类罪
'gu'lei'zui'zai'pei 谷类罪栽培
'gu'li 谷粒
'gu'li'chui'song'qi'gu'li'feng'li'zhuang'qi'yang'gu'ji 谷粒吹送器谷粒风力装器扬谷机
'gu'li'gan'zao 谷粒干燥
'gu'li'jia'gong 谷粒加工
'gu'li'shai 谷粒筛
'gu'li'xing'zhuang 谷粒性状
'gu'liu'lin 谷硫磷
'gu'pen 骨盆
'gu'pen'ce'ding'qi 骨盆测定器
'gu'qiu'feng 锢囚锋
'gu'qiu'tu 鼓丘土
'gu'ruan 谷朊
'gu'ruan'hua 骨软化
'gu'sheng'cheng 骨生成
'gu'sheng'dai'ceng 古生代层
'gu'sui 骨髓
'gu'sui'liu 骨髓瘤
'gu'sui'yan 骨髓炎
'gu'sui'zhang'ai 骨髓障碍
'gu'ti 固体
'gu'ti'er'yang'hua'tan 固体二氧化碳
'gu'ti'fa'jiao 固体发酵
'gu'ti'pei'yang 固体培养
'gu'ti'pei'yang'ji 固体培养基
'gu'ti'shui 固体水
'gu'ti'si'liao'fen'pei'qi 固体饲料分配器
'gu'tu'rang 古土壤
'gu'tu'rang'lei'xing 古土壤类型
'gu'tu'rang'xue 古土壤学
'gu'wu 谷物
'gu'wu'bo'zhong'ji 谷物播种机
'gu'wu'cang'ku 谷物仓库
'gu'wu'cu'xuan'qi 谷物粗选器
'gu'wu'fen'sui 谷物粉碎
'gu'wu'jian'yan 谷物检验
'gu'wu'lian'he'shou'huo'ji 谷物联合收获机
'gu'wu'nian'sui'ji 谷物碾碎机
'gu'wu'sheng'yun'qi 谷物升运器
'gu'wu'shou'huo 谷物收获
'gu'wu'tiao'bo'ji 谷物条播机
'gu'wu'tong'feng'qi 谷物通风器
'gu'xiang 谷象
'gu'ying'yang'bu'liang 骨营养不良
'gu'zhang 臌胀
'gu'zhe 骨折
'gu'zhi 估值
'gu'zhuo'pu 固着瀑
'gu'zi 谷子
'gu'zi'fu 谷子麸
'gua'fen'chan 刮粪铲
'gua'shi'xing 寡食性
'gua'tang 寡糖
'guai'dian 拐点
'guan'ce'dan'wei 观测单位
'guan'ce'zhi 观测值
'guan'ceng 冠层
'guan'ceng'ding'san'ye 冠层顶三叶
'guan'ceng'wen'du 冠层温度
'guan'ceng'ye'pian 冠层叶片
'guan'cha'zhi 观察值
'guan'chuan'ye 贯穿叶
'guan'dao'pai'shui 管道排水
'guan'gai'beng 灌溉泵
'guan'gai'chou'shui'zhan 灌溉抽水站
'guan'gai'di 灌溉地
'guan'gai'gong'cheng 灌溉工程
'guan'gai'jian'zhu'wu 灌溉建筑物
'guan'gai'jin'du'biao 灌溉进度表
'guan'gai'nong'ye 灌溉农业
'guan'gai'nong'zhuan 灌溉农专
'guan'gai'qu'dao'she'ji'shui'liang 灌溉渠道设计水量
'guan'gai'she'bei 灌溉设备
'guan'gai'shui'ku 灌溉水库
'guan'gai'shui'wen 灌溉水温
'guan'gai'shui'yuan 灌溉水源
'guan'gai'shui'zhi 灌溉水质
'guan'gai'tu'rang 灌溉土壤
'guan'gai'xi'tong 灌溉系统
'guan'gai'xu'shui 灌溉蓄水
'guan'gai'yong'shui 灌溉用水
'guan'gai'yong'shui'liang 灌溉用水量
'guan'jiang 灌浆
'guan'jiang'jie'shi'qi 灌浆结实期
'guan'jiang'qi 灌浆期
'guan'jiang'su'lv 灌浆速率
'guan'jie 关节
'guan'jie'bing 关节病
'guan'jie'cheng'xing'shu 关节成形术
'guan'jie'qiang'ying 关节强硬
'guan'jie'yan 关节炎
'guan'jie'yan'bing'du 关节炎病毒
'guan'jing 管井
'guan'mao 冠毛
'guan'mu'chan'chu'ji 灌木铲除机
'guan'mu'cong 灌木丛
'guan'mu'dui'fei 灌木堆肥
'guan'mu'lin'di'tu'rang 灌木林地土壤
'guan'mu'zhuang'de 灌木状的
'guan'qi'wen'cha 冠气温差
'guan'qu 灌区
'guan'shang'guan'mu 观赏灌木
'guan'shang'pin'zhong 观赏品种
'guan'shang'ye 观赏叶
'guan'shang'yong'qin 观赏用禽
'guan'shang'zhi'wu 观赏植物
'guan'shi'gan'zao'ji 管式干燥机
'guan'shi'pai'shui'gou 管式排水沟
'guan'shi'si'liao'fen'song'qi 管式饲料分送器
'guan'shui 灌水
'guan'shui'ding'liang 灌水定量
'guan'shui'fa 灌水法
'guan'shui'gou 灌水沟
'guan'tou 罐头
'guan'tou'shu'cai 罐头蔬菜
'guan'tou'shui'guo 罐头水果
'guan'xing'qi'dong'ji 惯性起动机
'guan'ye'zhi'wu 观叶植物
'guan'zhong 关中
'guan'zhuang'de 冠状的
'guan'zhuang'xiao'hua'de 管状小花的
'guan'zhuang'zhong'zhu 管状中柱
'guan'zu 管足
'guang'an'suan 胱氨酸
'guang'bao'he 光饱和
'guang'bao'he'dian 光饱和点
'guang'bu'chang'dian 光补偿点
'guang'fan'ying 光反应
'guang'fan'ying'jie'duan 光反应阶段
'guang'fen'jie 光分解
'guang'guang'xing'de 广光性的
'guang'he 光合
'guang'he'chan'wu 光合产物
'guang'he'cheng'mei 光合成酶
'guang'he'cheng'mo'xing 光合成模型
'guang'he'cheng'xi'jun 光合成细菌
'guang'he'lv 光合率
'guang'he'neng'li 光合能力
'guang'he'pu 光合瀑
'guang'he'qiang'du 光合强度
'guang'he'se'su 光合色素
'guang'he'sheng'chan 光合生产
'guang'he'sheng'chan'lv 光合生产率
'guang'he'sheng'li 光合生理
'guang'he'su'lv 光合速率
'guang'he'zhang'ai'xing 光合障碍型
'guang'he'zu'zhi 光合组织
'guang'he'zuo'yong 光合作用
'guang'hu'xi 光呼吸
'guang'hua'fan'ying 光化反应
'guang'hua'xue 光化学
'guang'hua'xue'fen'jie 光化学分解
'guang'huo'hua'ji'zhi 光活化机制
'guang'huo'hua'xing 光活化型
'guang'mi'du 光密度
'guang'mian'zhen'ya'qi'guang'mian'gun 光面镇压器光面辊
'guang'neng'li'yong'lv 光能利用率
'guang'pu'ce'ding 光谱测定
'guang'pu'fen'xi 光谱分析
'guang'pu'hua'xue'fen'xi 光谱化学分析
'guang'pu'kang'jun'su 广谱抗菌素
'guang'qiang 光强
'guang'shi'xing'de 广食性的
'guang'shi'ying 光适应
'guang'tou'guo'xing 光透过性
'guang'wen 光温
'guang'xiao 光效
'guang'xiao'lv 光效率
'guang'xue'fen'xi 光学分析
'guang'yan'xing'de 广盐性的
'guang'ze 光泽
'guang'zhao 光照
'guang'zhou'qi 光周期
'guang'zhou'qi'fan'ying 光周期反应
'guang'zhou'qi'xian'xiang 光周期现象
'guang'zi'yuan 光资源
'gui'ding'rong'ye 规定溶液
'gui'du 规度
'gui'fei 硅肥
'gui'gen'dao'di 归根到底
'gui'jie 归结
'gui'lv'lv 硅铝率
'gui'lv'tie'lv 硅铝铁率
'gui'lv'xing 规律性
'gui'pi 桂皮
'gui'shu 归属
'gui'suan 癸酸
'gui'suan'jia 硅酸钾
'gui'suan'na 硅酸钠
'gui'suan'xi'jun'fei'liao 硅酸细菌肥料
'gui'suan'yan 硅酸盐
'gui'suan'yan'xi'jun 硅酸盐细菌
'gui'suan'zhi'tu'rang'gai'liang'ji 硅酸质土壤改良剂
'gui'tie'lv 硅铁率
'gui'tou'yan 龟头炎
'gui'yan 硅岩
'gui'zao'lei 硅藻类
'gui'zao'tu 硅藻土
'gui'zao'tu'hua'guo'cheng 硅藻土化过程
'gui'zhi'tu'rang 硅质土壤
'gui'zhi'xi'bao 硅质细胞
'gun'shi'mian'fen'ji 辊式面粉机
'gun'tong 滚筒
'gun'tong'shi'fan'cao'ji 滚筒式翻草机
'gun'tong'shi'hong'gan'ji 滚筒式烘干机
'gun'tong'shi'jian'shi'qi 滚筒式捡拾器
'guo'bao 果胞
'guo'bao'nang 果孢囊
'guo'bao'si 果胞丝
'guo'bao'zi 果孢子
'guo'bao'zi'ti 果孢子体
'guo'bing 果柄
'guo'dong'de'shu'cai 过冬的蔬菜
'guo'du'ceng 过渡层
'guo'du'xing'hong'sha'tu 过度性红砂土
'guo'du'xing'mie'cao'ji 过渡性灭草剂
'guo'du'yang'hua'ceng 过渡氧化层
'guo'ji'dan'wei 国际单位
'guo'ji'huo'xing'dan'wei 国际活性单位
'guo'ji'jian'yi 国际检疫
'guo'ji'min'sheng 国计民生
'guo'jiao 果胶
'guo'jiao'suan'gai 果胶酸钙
'guo'le'hua'qi'de 过了花期的
'guo'leng 过冷
'guo'liang'wei'si 过量喂饲
'guo'lin'suan'gai 过磷酸钙
'guo'lin'suan'gai'jia 过磷酸钙钾
'guo'lv 过滤
'guo'min'du'su 过敏毒素
'guo'min'fan'ying 过敏反应
'guo'min'su 过敏素
'guo'min'xing 过敏性
'guo'min'yuan 过敏原
'guo'min'zheng 过敏症
'guo'pi 果皮
'guo're 过热
'guo'rou 果肉
'guo'rou'kuai 果肉块
'guo'sheng'zheng'zhuang 过剩症状
'guo'shi 果失
'guo'shi 果实
'guo'shi'hai 过湿害
'guo'shi'pei 果试培
'guo'shi'pei'di 果试培地
'guo'shi'shou'huo 果实收获
'guo'shi'shu'cai 果实蔬菜
'guo'shi'xue 果实学
'guo'shi'zhi'gan 果实直感
'guo'shi'zhu'cang'ku 果实贮藏库
'guo'shu 果树
'guo'shu 过熟
'guo'shu'can 过熟蚕
'guo'shu'qi 过熟期
'guo'tang 果糖
'guo'wen 过问
'guo'xin 果心
'guo'xu 果序
'guo'ya 果芽
'guo'yang'hua 过氧化
'guo'yang'hua'qing 过氧化氢
'guo'yang'hua'qing'mei 过氧化氢酶
'guo'yang'hua'wu 过氧化物
'guo'yang'hua'wu'mei 过氧化物酶
'guo'yang'qing'mei 过氧氢酶
'guo'ying 果蝇
'guo'yuan 果园
'guo'yuan'pen'wu'ji 果园喷雾机
'guo'yuan'tu'rang 果园土壤
'guo'zha 果渣
'guo'zhi 果汁
'guo'zi'dong'jiang 果子冻浆
'ha'fo 哈佛
'hai'an'di'dai 海岸地带
'hai'an'ping'yuan 海岸平原
'hai'ba 海拔
'hai'bin'qi'hou 海滨气候
'hai'bin'xiang'wan'dou 海滨香豌豆
'hai'cao 海草
'hai'cheng'yan'tu 海成盐土
'hai'chong 害虫
'hai'chong'yu'cha 害虫预察
'hai'di 海堤
'hai'he'cheng'chen'ji'ceng 海河成沉积层
'hai'ji'ceng 海积层
'hai'ji'tu 海积土
'hai'li 海里
'hai'li'shu 海狸鼠
'hai'lv'shi 海绿石
'hai'mian 海绵
'hai'mian'zhuang'de 海绵状的
'hai'mian'zu'zhi 海绵组织
'hai'niao 害鸟
'hai'niao'fen 海鸟粪
'hai'shui 海水
'hai'shui'yan'zhi 海水腌制
'hai'tan'bin'li 海滩滨藜
'hai'tan'tu 海滩土
'hai'tui'zhuo 海退酌
'hai'xiang'chen'ji 海相沉积
'hai'yang'huan'jing 海洋环境
'hai'yang'mu'chang 海洋牧场
'hai'yang'xing'qi'hou 海洋性气候
'hai'yang'zi'yuan 海洋资源
'hai'zao 海枣
'hai'zao'lei 海藻类
'hai'zao'tang 海藻糖
'han'chao 寒潮
'han'cheng 韩城
'han'dai 寒带
'han'dao 旱稻
'han'di 旱地
'han'di'nong'ye 旱地农业
'han'di'tu'rang 旱地土壤
'han'di'tu'rang'bao'hu 旱地土壤保护
'han'di'tu'rang'zhong'lei 旱地土壤种类
'han'gai'liao 含钙料
'han'gu 旱谷
'han'hai 旱害
'han'hui'liang 含灰量
'han'leng 寒冷
'han'leng'qian'xian 寒冷前线
'han'liang 含量
'han'liu'an'ji'suan 含硫氨基酸
'han'qu 旱区
'han'shen'hua'he'wu 含砷化合物
'han'sheng'xing'tai 旱生形态
'han'sheng'zhi'wu 旱生植物
'han'shu'guan'xi 函数关系
'han'shui'de 含水的
'han'shui'liang 含水量
'han'tian'chu'cao 旱田锄草
'han'tian'guan'gai 旱田灌溉
'han'tian'guan'gai'ti'xi 旱田灌溉体系
'han'tian'leng'chuang 旱田冷床
'han'tian'leng'chuang'miao 旱田冷床苗
'han'tian'nong'zuo 旱田农作
'han'tian'zui 旱田罪
'han'yan'de 含盐的
'han'you'zhi'wu 含油植物
'han'you'zhong'zi 含油种子
'han'yu'miao 旱育苗
'han'yuan 旱塬
'han'zhong 汉中
'han'zuo'han'nong 旱作旱农
'hang'di 夯地
'hang'jian'zhong'geng'ji 行间中耕机
'hang'ju 行距
'hang'kong'zhao'xiang'xue 航空照相学
'hang'lie'shi 行列式
'hang'zhang 行长
'hao'ke'dang'liang 毫克当量
'hao'qi'fa'jiao 好气发酵
'hao'qi'fen'jie 好气分解
'hao'qi'xing'jing'hua 好气性净化
'hao'qi'xing'tang'fen'jie 好气性糖分解
'hao're'xing'de 好热性的
'hao're'xing'shu'cai 好热性蔬菜
'hao're'xing'xi'jun 好热性细菌
'hao'shui 耗水
'hao'shui'liang 耗水量
'hao'wu'yi'wen 毫无疑问
'hao'yang'sheng'huo 好氧生活
'hao'yong 耗用
'he'an'di'bao'hu 河岸地保护
'he'ba 河坝
'he'ban 合瓣
'he'ban 核板
'he'ban'de 合瓣的
'he'ben'de 禾本的
'he'ben'ke 禾本科
'he'ben'ke'gu'li'si'liao 禾本科谷粒饲料
'he'ben'ke'lv'fei'zui 禾本科绿肥罪
'he'ben'ke'mu'cao 禾本科牧草
'he'ben'ke'si'liao 禾本科饲料
'he'ben'ke'zhi'wu 禾本科植物
'he'ben'ke'zui 禾本科罪
'he'biao'xian'xing 核表现型
'he'bin'tu'rang 河滨土壤
'he'cheng 合成
'he'cheng'ci'ji'su 合成雌激素
'he'cheng'duo'he'tang'he'gan'suan 合成多核糖核苷酸
'he'cheng'fu'zhi'suan 合成腐殖酸
'he'cheng'jiao'su 合成酵素
'he'cheng'jie'di'tu 河成阶地土
'he'cheng'liang 合成量
'he'cheng'pei'yang'ji 合成培养基
'he'cheng'sheng'zhang'cu'jin'ji 合成生长促进剂
'he'cheng'si'liao 合成饲料
'he'cheng'wei'sheng'su 合成维生素
'he'cheng'xi'tong 合成系统
'he'cheng'yi'miao 合成疫苗
'he'chuan 河川
'he'chuan'bao'hu 河川保护
'he'chuan'liu 河川硫
'he'chuan'wei'hu 河川维护
'he'chuan'zheng'zhi 河川整治
'he'chuang 河床
'he'chuang'bao'hu 河床保护
'he'dan'bai'ti'he'tang'he'suan 核蛋白体核糖核酸
'he'dan'bai'ti'shi'bie'dian 核蛋白体识别点
'he'dan'bai'ti'shun'fan'zi 核蛋白体顺反子
'he'dao'wang 河道网
'he'dao'zheng'zhi 河道整治
'he'di 河堤
'he'dian'shou'jing 合点受精
'he'duo'jiao'ti'bing 核多角体病
'he'e'de 合萼的
'he'fang'chui'ti 核纺锤体
'he'fen'lie 核分裂
'he'gan 核苷
'he'gan'suan 核苷酸
'he'gan'suan'mei 核苷酸酶
'he'ge'zhong'zi 合格种子
'he'gu'lei'dan'bai'zhi 禾谷类蛋白质
'he'gu'lei'fu'chan'wu 禾谷类副产物
'he'gu'lei'zui 禾谷类罪
'he'guo 核果
'he'guo'zhuang'de 核果状的
'he'huan 和缓
'he'huang'su 核黄素
'he'ji'yin 核基因
'he'kou 河口
'he'li 河狸
'he'li'you'sheng'wu 河痢游生物
'he'lian'li'xue 河廉力学
'he'liang'ji 河亮积
'he'ling'ji'ceng 河铃积层
'he'ling'ji'shui'dao'tu 河铃积水稻土
'he'liu 合流
'he'mai'hua'tian'niu 褐脉花天牛
'he'mei'fu'zhi'suan'fei'liao 褐煤腐殖酸肥料
'he'mo 核膜
'he'nei'fu'zhi 核内复制
'he'nei'you'si'fen'lie 核内有丝分裂
'he'qun'xing 合群性
'he'ren 核仁
'he'ren'zu'cheng'ji'yin 核仁组成基因
'he'ruan 核朊
'he'rui'zhu 合蕊柱
'he'se'hu'min'suan 褐色胡敏酸
'he'se'sen'lin'tu 褐色森林土
'he'sheng 合生
'he'shi'jian 和事件
'he'shui'qi'shui'wei 涸水期水位
'he'suan 核酸
'he'suan'dai'xie 核酸代谢
'he'suan'mei 核酸酶
'he'tang 核糖
'he'tang'he'dai'suan 核糖核甙酸
'he'tang'he'gan'suan'mei 核糖核苷酸酶
'he'tang'he'suan 核糖核酸
'he'tang'ti 核糖体
'he'tao 核桃
'he'tao'shu'chang'guo'he'tao'shu 核桃树长果核桃树
'he'tao'shu'hu'tao'shu 核桃树胡桃树
'he'ti'xi'bao 合体细胞
'he'tie'kuang 褐铁矿
'he'tong'tang 核酮糖
'he'tu 褐土
'he'wai'de 核外的
'he'wai'yi'chuan 核外遗传
'he'wang 核网
'he'xi 河系
'he'xi 河西
'he'xi'tu 河系图
'he'xian'si 核纤丝
'he'xiao'ti 核小体
'he'xin'pi'de 合心皮的
'he'xin'qun 核心群
'he'xing 核型
'he'yang 合阳
'he'ye 核液
'he'ye'de 合叶的
'he'yi'chuan'xue 核遗传学
'he'zao'lei 褐藻类
'he'zhai'chu 核摘出
'he'zhi 核质
'he'zhi'huan 核置换
'he'zi 合子
'he'zi'he 合子核
'hei'fen'chong 黑粉虫
'hei'feng'bing 黑蜂病
'hei'fu'bing 黑腐病
'hei'gai'tu 黑钙土
'hei'guo'de 黑果的
'hei'hua 黑化
'hei'hua'de 黑花的
'hei'jiang'bing 黑僵病
'hei'jie 黑芥
'hei'jing'de 黑茎的
'hei'luan 黑卵
'hei'mai 黑麦
'hei'mai'cao 黑麦草
'hei'mai'cao'ban'dian'bing 黑麦草斑点病
'hei'mai'fu 黑麦麸
'hei'mai'gao'gan 黑麦稿秆
'hei'mai'ye'xiu'bing 黑麦叶锈病
'hei'mei 黑莓
'hei'meng 黑朦
'hei'mi 黑米
'hei'se'shi'hui'tu 黑色石灰土
'hei'se'su 黑色素
'hei'se'zhong'mi'feng 黑色种蜜蜂
'hei'sui'bing 黑穗病
'hei'tian'shu 黑田鼠
'hei'xiu'bing 黑锈病
'hei'yang 黑杨
'hen'ke'neng 很可能
'heng'ge'mo 横隔膜
'heng'sheng'de 横生的
'heng'wen'qi'ding'wen'xiang 恒温器定温箱
'heng'xiang'de'xing 横向地性
'heng'xiang'guang'xing 横向光性
'heng'xiang'pai'shui 横向排水
'heng'yan 横堰
'heng'zuo'biao 横坐标
'hong'che'zhou'cao 红车轴草
'hong'cu'li 红醋栗
'hong'gan 烘干
'hong'gan'ji 烘干机
'hong'guo'de 红果的
'hong'ji'ceng 洪积层
'hong'ji'tu 洪积土
'hong'jian 烘茧
'hong'jian'biao'zhun 烘茧标准
'hong'jin'ji'na'shu'jin'ji'na'shu 红金鸡纳树金鸡纳树
'hong'kao 烘烤
'hong'nian'tu 红粘土
'hong'rang 红壤
'hong'se'shi'hui'tu 红色石灰土
'hong'se'zong'gai'tu 红色棕钙土
'hong'sha'rang 红砂壤
'hong'shu 红树
'hong'shui'gai'lv 洪水概率
'hong'shui'jing'liu 洪水径流
'hong'shui'kong'zhi 洪水控制
'hong'shui'wei 洪水位
'hong'shui'yu'bao 洪水预报
'hong'shui'zai'hai 洪水灾害
'hong'wai 红外
'hong'wai'ce'wen'yi 红外测温仪
'hong'wai'deng 红外灯
'hong'wai'fen'guang'guang'du'fa 红外分光光度法
'hong'wai'fu'she 红外辐射
'hong'wai'xian 红外线
'hong'wai'xian'deng'nuan'fang 红外线灯暖房
'hong'wan'dou 红豌豆
'hong'xi'bao'sheng'cheng 红细胞生成
'hong'xi'shi'yi'hong'dao 虹吸式溢洪道
'hong'xue'qiu 红血球
'hong'ye'de 红叶的
'hong'zao'lei 红藻类
'hong'zhi'zhu 红蜘蛛
'hong'zong'gai'tu 红棕钙土
'hong'zong'se'cao'yuan'tu 红棕色草原土
'hong'zong'se'sen'lin'tu'rang 红棕色森林土壤
'hou'bei'jia'chu 后备家畜
'hou'bei'niu 后备牛
'hou'bi'bao'zi 厚壁孢子
'hou'bi'xi'bao 厚壁细胞
'hou'bi'zu'zhi 厚壁组织
'hou'bu'si'xian 后部丝腺
'hou'cha 后茬
'hou'cha'shu'cai 后茬蔬菜
'hou'cha'zai'pei 后茬栽培
'hou'cha'zui 后茬罪
'hou'chan 后产
'hou'chang 后肠
'hou'chi 后翅
'hou'dai 后代
'hou'dai'ce'yan 后代测验
'hou'dai'gan'ran 后代感染
'hou'dian'cao'jiu'fei 厚垫草厩肥
'hou'dian'cao'si'yang 厚垫草饲养
'hou'du 厚度
'hou'gu'zhi'you 后顾之忧
'hou'ji'nai 后挤奶
'hou'jiao'zu'zhi 厚角组织
'hou'lai'ju'shang 后来居上
'hou'lun 后轮
'hou'lun'chuan'dong 后轮传动
'hou'mian'bao 猴面包
'hou'nao 后脑
'hou'qi 后期
'hou'qi'guan'yan 喉气管炎
'hou'qu 后躯
'hou'sheng'zhi'ti 后生质体
'hou'shu 后熟
'hou'tian'huo'de'de 后天获得的
'hou'tian'xing'mian'yi 后天性免疫
'hou'tian'xing'zhuang 后天性状
'hou'tui 后腿
'hou'tui'rou 后腿肉
'hou'tui'yan'hua 后退演化
'hou'xiang 后象
'hou'xiao 后效
'hou'yan'gai'lv 后验概率
'hou'zhuo'liao'zui 后浊料罪
'hu'an 护岸
'hu'an'gong'cheng 护岸工程
'hu'bu 互补
'hu'bu'ji'yin 互补基因
'hu'chen'ji 湖沉积
'hu'chi'jie'guo 互斥结果
'hu'chi'shi'jian 互斥事件
'hu'chi'xian'xiang 互斥现象
'hu'die 蝴蝶
'hu'er'te'gao 胡耳特藁
'hu'fen 糊粉
'hu'fen'ceng 糊粉层
'hu'fen'li 糊粉粒
'hu'hua 糊化
'hu'ji'tu 湖积土
'hu'jiao 胡椒
'hu'jing 糊精
'hu'liang'ken 湖粱齦
'hu'lu'ke'zhi'wu 葫芦科植物
'hu'luo'bo 胡萝卜
'hu'luo'bo'hei'ban'bing 胡萝卜黑斑病
'hu'luo'bo'su 胡萝卜素
'hu'luo'bo'su'mei 胡萝卜素酶
'hu'ma'wei'diao'bing 胡麻萎凋病
'hu'min'su 胡敏素
'hu'min'suan 胡敏酸
'hu'min'suan'an 胡敏酸铵
'hu'min'suan'fei 胡敏酸肥
'hu'min'suan'guo'lin'suan'gai 胡敏酸过磷酸钙
'hu'min'suan'liu'fen 胡敏酸馏分
'hu'min'suan'na 胡敏酸钠
'hu'min'suan'xian'qu'wu'zhi 胡敏酸先驱物质
'hu'po 琥珀
'hu'po'suan 琥珀酸
'hu'qi 呼气
'hu'sheng 互生
'hu'sheng'ye'xu 互生叶序
'hu'sheng'yu'zhuang'de 互生羽状的
'hu'tao'hei'xing'bing 胡桃黑星病
'hu'tao'xi'jun'xing'ban'dian'bing 胡桃细菌性斑点病
'hu'tao'ye'ku'bing 胡桃叶枯病
'hu'wei'zao 狐尾藻
'hu'xi 呼吸
'hu'xi'ce're'ji 呼吸测热计
'hu'xi'dao'ji'bing 呼吸道疾病
'hu'xi'dao'zhi'yuan'ti'bing 呼吸道枝原体病
'hu'xi'gen 呼吸根
'hu'xi'guo'cheng 呼吸过程
'hu'xi'huo'xing 呼吸活性
'hu'xi'ji'zhi 呼吸基质
'hu'xi'mei 呼吸酶
'hu'xi'pu 呼吸瀑
'hu'xi'qi'fang'du'mian 呼吸器防毒面
'hu'xi'sheng'li 呼吸生理
'hu'xi'su'du 呼吸速度
'hu'xi'su'lv 呼吸速率
'hu'xi'xi'tong 呼吸系统
'hu'xi'zhang'ai 呼吸障碍
'hu'xiao'ping 胡小平
'hu'ying 护颖
'hu'zhao'sheng'wu'xue 湖沼生物学
'hu'zuo 互作
'hua'ban 滑板
'hua'ban 花瓣
'hua'ban'ti 花斑体
'hua'ban'zhuang'de 花瓣状的
'hua'bei 花被
'hua'bei'pian 花被片
'hua'bing 花柄
'hua'cheng'shi 花程式
'hua'cu'sheng'zai'pei 花促生栽培
'hua'de 花的
'hua'dong'yuan'li 滑动原理
'hua'fen 花粉
'hua'fen'bu'fen'bu'yu 花粉部分不育
'hua'fen'cai'ji'qi 花粉采集器
'hua'fen'chuan'ran 花粉传染
'hua'fen'fang'chu 花粉放出
'hua'fen'guan 花粉管
'hua'fen'guan'he 花粉管核
'hua'fen'kuai 花粉块
'hua'fen'kuai'bing 花粉块柄
'hua'fen'kuang 花粉筐
'hua'fen'li 花粉粒
'hua'fen'mu'xi'bao 花粉母细胞
'hua'fen'nang 花粉囊
'hua'fen'pei'yang 花粉培养
'hua'fen'qin 花粉亲
'hua'fen'quan'bu'yu 花粉全不育
'hua'fen'quan'yu 花粉全育
